address,zip code,INCENTIVE AMOUNT,grant,company
605 N MICHIGAN AVE 4TH 400,60611,"-10,156.77",10156.7687,"Z.A.S. CONSULTING, INC."
2340 W 52ND ST 1ST,60609,"-10,158.72",10158.71675,"SHASTRIJI ASSOCIATES, INC."
4554 N BROADWAY  2 230,60640,"-10,160.66",10160.6648,ABENA J. ADDAE
531 N WELLS ST 1,60654,"-10,163",10162.61285,"BRG CATERING, LLC"
1400 S LAKE SHORE DR,60605,"-10,165",10164.5609,"Pulseworks, LLC"
1023 1/2 W ARGYLE ST,60640,"-10,166.51",10166.50895,OFFICE OF CPA & ASSOCIATES LTD
10509 S WESTERN AVE,60643,"-10,168",10168.457,G D T WESTERN INC
2600 S MICHIGAN AVE 4TH 410,60616,"-10,170.41",10170.40505,"DIRECTMED HEALTH SERVICES, LLC"
4917 N BROADWAY,60640,"-10,172",10172.3531,TAI NAM CORPORATION
5150 N CLARK ST 1ST,60640,"-10,174.30",10174.30115,"KONAK, INC."
9610 S DAMEN AVE 1ST,60643,"-10,176.25",10176.2492,WENDELLA L. DONEGAN
6100 S WESTERN AVE 1ST,60636,"-10,178.20",10178.19725,SHREEJI ASSOCIATES INC.
4925 N BROADWAY,60640,"-10,180.15",10180.1453,TAI NAM CORPORATION
11217 S WESTERN AVE,60643,"-10,182.09",10182.09335,GUADALUPE BARRERA
4925 N BROADWAY,60640,"-10,184",10184.0414,TAI NAM CORPORATION
600 W CERMAK RD  1B,60616,"-10,185.99",10185.98945,"HAMILL PARTNERS, INC."
5448 N BROADWAY  1ST,60640,"-10,187.94",10187.9375,ZIKAINAN NURSING HOME INC
7601 S CICERO AVE 1ST  1272,60652,"-10,190",10189.88556,Selfish Corporation
155 N HARBOR DR,60601,"-10,192",10191.83361,THOMAS  HOGLUND
100 E WALTON ST  LOWER LEVE,60611,"-10,194",10193.78166,HAN JOO SUH
4717 N CLARK ST  SOUTH,60640,"-10,196",10195.72971,"PLAY SOCCER, INC."
5150 N CLARK ST 1ST,60640,"-10,198",10197.67776,"KONAK, INC."
11070 S WESTERN AVE 1ST,60643,"-10,200",10199.62581,THE ULTIMATE HOME HEALTH CARE
5315 N CLARK ST 1ST,60640,"-10,202",10201.57386,BOCA INCORPORATION
5234 N CLARK ST,60640,"-10,204",10203.52191,BROWNSTONE ANTIQUES
2477 S ARCHER AVE 1ST,60616,"-10,205.47",10205.46996,"SHAUN ASSOCIATES, INC."
5700 S LAKE SHORE DR 3,60637,"-10,207.42",10207.41801,"Pulseworks, LLC"
1140 W 95TH ST 1-2,60643,"-10,209.37",10209.36606,"BEVERLY MOTEL & SUITES, INC."
3501-3507 N CLARK ST 1 & 2,60657,"-10,211",10211.31411,"3505 CLARK, INC."
3501-3507 N CLARK ST 1 & 2,60657,"-10,213.26",10213.26216,"3505 CLARK, INC."
3501-3507 N CLARK ST 1 & 2,60657,"-10,215.21",10215.21021,"3505 CLARK, INC."
2431 W WARNER AVE 2ND FLOOR,60618,"-10,217",10217.15826,"Wigmore Construction, LLC"
5203 N CLARK ST 1ST,60640,"-10,219.11",10219.10631,"COUSINS AND ASSOC., INC."
5306 N CLARK ST 1,60640,"-10,221.05",10221.05436,"GEORGE'S ICE CREAM SWEETS, INC."
311 S WACKER DR  2400,60606,"-10,223.00",10223.00241,STIOM LLC
1769 W SUNNYSIDE AVE,60640,"-10,224.95",10224.95046,"SERUMIDO, LTD."
6659 S DAMEN AVE  A,60636,"-10,226.90",10226.89851,CHIRON A. CURTIS
5060 N CLARK ST 1,60640,"-10,229",10228.84657,DOLLOP DINER LLC
5060 N CLARK ST 1,60640,"-10,230.79",10230.79462,DOLLOP DINER LLC
500 N MICHIGAN AVE 6TH 600,60611,"-10,233",10232.74267,Web Development Companies Inc
11230 S WESTERN AVE  1ST,60643,"-10,234.69",10234.69072,111TH & WESTERN CURRENCY EXCHA
5415 N CLARK ST,60640,"-10,237",10236.63877,CLAYTON A. CERNY
5060 N CLARK ST 1,60640,"-10,239",10238.58682,DOLLOP DINER LLC
1769 W SUNNYSIDE AVE,60640,"-10,241",10240.53487,"SERUMIDO, LTD."
3501-3507 N CLARK ST 1 & 2,60657,"-10,242",10242.48292,"3505 CLARK, INC."
5203 N CLARK ST 1ST,60640,"-10,244",10244.43097,"COUSINS AND ASSOC., INC."
6349 N ORIOLE AVE,60631,"-10,246",10246.37902,Crystal Clear Content LLC
805 W 111TH ST 1ST,60643,"-10,248.33",10248.32707,TONY'S STEAK GYROS & LEMONADE INC.
4659 N CLARK ST 1ST,60640,"-10,250",10250.27512,CAROL'S PUB LLC
4659 N CLARK ST 1ST,60640,"-10,252",10252.22317,CAROL'S PUB LLC
300 E OHIO ST 23RD - 26TH,60611,"-10,254",10254.17122,"HILTON GRAND VACATIONS CLUB, LLC"
7210 W PRATT AVE GROUND FLOOR,60631,"-10,256.12",10256.11927,RADIANT SPA AND SALON LLC
330 N WABASH AVE 1-12C,60611,"-10,258.07",10258.06732,PACIFIC LANGHAM CHICAGO CORPORATION
330 N WABASH AVE 1-12C,60611,"-10,260",10260.01537,PACIFIC LANGHAM CHICAGO CORPORATION
330 N WABASH AVE 1-12C,60611,"-10,262",10261.96342,PACIFIC LANGHAM CHICAGO CORPORATION
10640 S WESTERN AVE 1ST,60643,"-10,264",10263.91147,SPRINGER BLUEPRINT SERVICE INC
330 N WABASH AVE 1-12C,60611,"-10,266",10265.85952,PACIFIC LANGHAM CHICAGO CORPORATION
5509 N CLARK ST  1ST,60640,"-10,267.81",10267.80757,EDGEWATER PRODUCE
330 N WABASH AVE 1-12C,60611,"-10,269.76",10269.75563,PACIFIC LANGHAM CHICAGO CORPORATION
4659 N CLARK ST 1ST,60640,"-10,271.70",10271.70368,CAROL'S PUB LLC
330 N WABASH AVE 1-12C,60611,"-10,273.65",10273.65173,PACIFIC LANGHAM CHICAGO CORPORATION
330 N WABASH AVE 1-12C,60611,"-10,275.60",10275.59978,PACIFIC LANGHAM CHICAGO CORPORATION
5355 N CLARK ST 1ST,60640,"-10,277.55",10277.54783,"HAK SA, INC."
5355 N CLARK ST 1ST,60640,"-10,279",10279.49588,"HAK SA, INC."
4448 N MILWAUKEE AVE,60630,"-10,281",10281.44393,CHICAGO MUSIC AND ACTING ACADEMY LLC
940 N MICHIGAN AVE 1ST,60611,"-10,283",10283.39198,"THE RealReal, INC."
2043 W 95TH ST,60643,"-10,285.34",10285.34003,LARRY'S AUTO REPAIR INC
4436 W FULLERTON AVE 1ST,60639,"-10,287",10287.28808,SITIA FOOD CORP.
1512 W FOSTER AVE 1ST,60640,"-10,289.24",10289.23613,"MIDDLE EAST BAKERY & GROCERY, INC."
980 N MICHIGAN AVE 8TH,60611,"-10,291",10291.18418,"THE RealReal, INC."
1500 E 55TH ST 1,60615,"-10,293.13",10293.13223,ALGA LLC
940 N MICHIGAN AVE 1ST,60611,"-10,295.08",10295.08028,"THE RealReal, INC."
1500 E 55TH ST 1,60615,"-10,297",10297.02833,ALGA LLC
1500 E 55TH ST 1,60615,"-10,299",10298.97638,ALGA LLC
7047-7049 N CLARK ST,60626,"-10,301",10300.92443,APOLONIO ENTERPRISES LLC
940 N MICHIGAN AVE 1ST,60611,"-10,303",10302.87248,"THE RealReal, INC."
4246 S ARCHER AVE 1ST,60632,"-10,304.82",10304.82053,RAMIREZ ENTERPRISES INC.
5341-5343 N CLARK ST 1,60640,"-10,307",10306.76858,"CALO LOUNGE, INC."
9956 S WESTERN AVE,60643,"-10,309",10308.71664,"THOMAS J. FOX ENTERPRISES, INC."
3101 W 26TH ST 1ST 301,60623,"-10,310.66",10310.66469,RAMIREZ ENTERPRISES INC.
9956 S WESTERN AVE,60643,"-10,313",10312.61274,"THOMAS J. FOX ENTERPRISES, INC."
5341-5343 N CLARK ST 1,60640,"-10,315",10314.56079,"CALO LOUNGE, INC."
4545 W DIVISION ST 1ST O1-6,60651,"-10,316.51",10316.50884,RAMIREZ ENTERPRISES INC.
5000 N CLARK ST 1ST,60640,"-10,318.46",10318.45689,STAR AUTO REPAIRS & BODY SHOP INC.
2444 N ELSTON AVE,60647,"-10,320.40",10320.40494,"TCA - 2020 WEST, LLC"
2445 N ELSTON AVE 1,60647,"-10,322",10322.35299,"TCA - 2020 WEST, LLC"
2444 N ELSTON AVE,60647,"-10,324.30",10324.30104,"TCA - 2020 WEST, LLC"
2444 N ELSTON AVE,60647,"-10,326",10326.24909,"TCA - 2020 WEST, LLC"
2444 N ELSTON AVE,60647,"-10,328",10328.19714,"TCA - 2020 WEST, LLC"
2444 N ELSTON AVE,60647,"-10,330",10330.14519,"TCA - 2020 WEST, LLC"
2444 N ELSTON AVE,60647,"-10,332.09",10332.09324,"TCA - 2020 WEST, LLC"
2444 N ELSTON AVE,60647,"-10,334.04",10334.04129,"TCA - 2020 WEST, LLC"
120 W MADISON ST 11 1106,60602,"-10,336",10335.98934,SOMES-NICK & COMPANY
22 E ROOSEVELT RD,60605,"-10,337.94",10337.93739,"TOPAZ FOODS, LLC"
1500 E 75TH ST 1ST,60619,"-10,340",10339.88544,OSWALD C O'CONNOR
2444 N ELSTON AVE,60647,"-10,341.83",10341.83349,"TCA - 2020 WEST, LLC"
10319 S KEDZIE AVE 1ST,60655,"-10,344",10343.78154,"A's automotive,inc."
2444 N ELSTON AVE,60647,"-10,346",10345.72959,"TCA - 2020 WEST, LLC"
1125 W ARGYLE ST,60640,"-10,347.68",10347.67764,HIEP LOI GIFT & FURNITURE INCC
2444 N ELSTON AVE,60647,"-10,350",10349.6257,"TCA - 2020 WEST, LLC"
10650 S WESTERN AVE 1ST,60643,"-10,351.57",10351.57375,A CHOICE FOR LIFE INC.
5217 N CLARK ST 1,60640,"-10,354",10353.5218,SWEDISH AMERICAN MUSEUM ASSOCIATION OF CHICAGO
5211 N CLARK ST 1ST,60640,"-10,355.47",10355.46985,SWEDISH AMERICAN MUSEUM ASSOCIATION OF CHICAGO
5919 N PAULINA ST  1E,60660,"-10,357.42",10357.4179,"DAWSON RELOCATION SERVICES, INC."
10937 S WESTERN AVE,60643,"-10,359.37",10359.36595,TUNG LE
8721 S STATE ST,60619,"-10,361.31",10361.314,"REASSEMBLE EDUCATION & TRAINING, INC."
5211 N CLARK ST 1ST,60640,-10363.26205,10363.26205,SWEDISH AMERICAN MUSEUM ASSOCIATION OF CHICAGO
3824 W MONTROSE AVE 1,60618,"-10,365",10365.2101,JUAN NAVARRETE
627 W JACKSON BLVD 1ST,60661,"-10,367",10367.15815,"AARNA STORES, INCORPORATED"
1443 W 103RD ST 1ST,60643,"-10,369.11",10369.1062,ROOSEVELT HOLLOMAN
4702 N KEWANEE AVE,60630,"-10,371.05",10371.05425,SEBASTIAN BLAISE SPARENGA
955-957 W BELMONT AVE 1,60657,"-10,373.00",10373.0023,"Chicago Bagel Authority- Belmont, Inc."
6607 N NEWGARD AVE  2S,60626,"-10,374.95",10374.95035,"HALLISSEY DESIGN, LLC"
3900 W 26TH ST,60623,"-10,376.90",10376.8984,"DELGADO TRAVEL AGENCY, INC."
2914 N MILWAUKEE AVE 1ST,60618,"-10,379",10378.84645,"DELGADO TRAVEL AGENCY, INC."
2845 W 48TH PL 1ST G,60632,"-10,381",10380.7945,"ENRIQUEZ MATERIALS & QUILTING, INC."
2156 W FULTON ST 2,60612,"-10,382.74",10382.74255,Hartland Digital LLC
3807 W FULLERTON AVE,60647,"-10,385",10384.6906,"DELGADO TRAVEL AGENCY, INC."
1445 W 103RD ST 1ST,60643,"-10,386.64",10386.63865,ROOSEVELT HOLLOMAN
627 W JACKSON BLVD 1ST,60661,"-10,389",10388.58671,"AARNA STORES, INCORPORATED"
10522 S WESTERN AVE 1ST,60643,"-10,390.53",10390.53476,"KEN'S RESTAURANT, INCORPORATED"
5559 S ARCHER AVE  3,60638,"-10,392",10392.48281,"MAC ONE MIDWAY, LLC"
3991 S ARCHER AVE 1,60632,"-10,394",10394.43086,ELSA M GIRON & JOSE L PAUL
6932 S SOUTH CHICAGO AVE 1,60637,"-10,396",10396.37891,"TKG ILLINOIS STORAGE II, L.L.C."
10525 S WESTERN AVE,60643,"-10,398",10398.32696,O'DONNELL-BARTZ-SCHULTZ FUNERAL HOME LTD.
6714 S COTTAGE GROVE AVE 1,60637,"-10,400",10400.27501,"TKG ILLINOIS STORAGE II, L.L.C."
8605 S KOLMAR AVE,60652,"-10,402",10402.22306,ANTONIO ROJAS AND SUSANA PEREZ
1119 - 1121 W WEBSTER AVE 1ST,60614,"-10,404.17",10404.17111,1119 W WEBSTER RESTAURANT LLC
4915 S UNION AVE,74107,"-10,406.12",10406.11916,FMS INC.
150 N RIVERSIDE PLZ 43,60606,"-10,408.07",10408.06721,William Blair Investment Management LLC
1835-53 E 95TH ST 1ST,60617,"-10,410.02",10410.01526,95TH ST FUEL MART INC.
35 W WACKER DR LOBBY,60601,"-10,412",10411.96331,"PIEDMONT OFFICE MANAGEMENT, LLC"
4811 N ASHLAND AVE 1 #,60640,"-10,414",10413.91136,ELIZABETH STEVENS
1135 W ARGYLE ST,60640,"-10,416",10415.85941,TAN THANH BOOK & GIFT CO
120 S RIVERSIDE PLZ 1ST,60606,"-10,418",10417.80746,"PB RIVERSIDE, LLC"
4853 N RAVENSWOOD AVE,60640,"-10,419.76",10419.75551,JSL ADVERTISING INC
2100 N RACINE AVE  4H,60614,"-10,421.70",10421.70356,Chicago Ticket Authority LLC
1119 - 1121 W WEBSTER AVE 1ST,60614,"-10,423.65",10423.65161,1119 W WEBSTER RESTAURANT LLC
4729 N KENMORE AVE 2ND 2,60640,"-10,426",10425.59966,"BOCKOS DESIGN, INC"
1835-53 E 95TH ST 1ST,60617,"-10,428",10427.54771,95TH ST FUEL MART INC.
3124 W IRVING PARK RD,60618,"-10,429",10429.49577,GLORIA P LISSNER
1022-1024 W ARGYLE ST  201,60640,"-10,431.44",10431.44382,NGHI V LE
1818 W FOSTER AVE,60640,"-10,433",10433.39187,"WAB, INC."
2911-2913 S ARCHER AVE 1,60608,"-10,435.34",10435.33992,J N VRAJ INC.
4840 N BROADWAY,60640,"-10,437",10437.28797,4840 RESTAURANT CORP.
1305 S MICHIGAN AVE  1305,60605,"-10,439.24",10439.23602,"S is for Studio, Inc."
4947 N BROADWAY  1,60640,"-10,441",10441.18407,THUHONG THI NGUYEN
4840 N BROADWAY,60640,"-10,443",10443.13212,4840 RESTAURANT CORP.
4664 N MANOR AVE 1ST,60625,"-10,445.08",10445.08017,"PIE CAFE, LLC"
2911-2913 S ARCHER AVE 1,60608,"-10,447",10447.02822,J N VRAJ INC.
6435 S DR MARTIN LUTHER KING JR DR,60637,"-10,449",10448.97627,PARKWAY SUPER MARKET INC
3207 N CENTRAL AVE 1ST,60634,"-10,451",10450.92432,FRAGOLA YOGURT AND ICE CREAM CORP
4617 N CLARK ST,60640,"-10,453",10452.87237,BANGKOK VIDEO & GROCERY INC
1206 W LAWRENCE AVE,60640,"-10,454.82",10454.82042,CANCUN TAQUERIA INC.
6359 S COTTAGE GROVE AVE 1,60637,"-10,457",10456.76847,AL-RAHMAN (USA) INC.
4800 N BROADWAY,60640,"-10,458.72",10458.71652,"BROADWAY GRILL, INC."
4022-4024 W MONTROSE AVE 1ST,60641,"-10,461",10460.66457,"CHICAGO FINANCE CENTER, INC."
820 W LAWRENCE AVE,60640,"-10,463",10462.61262,ALDEN NURSING CENTER
456 E 79TH ST,60619,"-10,464.56",10464.56067,BLINK GALORE LLC
5020 N SHERIDAN RD,60640,"-10,467",10466.50872,"BIG CHICKS, INC."
4022 W 59TH ST 1ST,60629,"-10,468.46",10468.45677,ACUNA INC.
4445 N SHERIDAN RD 1ST A,60640,"-10,470",10470.40483,"A+STORE, INC"
4533 N CLARK ST,60640,"-10,472.35",10472.35288,BAG PLAZA CORPORATION
130 E RANDOLPH ST 27TH 2700,60601,"-10,474.30",10474.30093,HUBBARD RADIO CHICAGO LLC
920 W WILSON AVE # 1ST,60640,"-10,476",10476.24898,"JESUS PEOPLE, U.S.A., FULL GOSPEL MINISTRIES"
4553 - 4559 N CLARK ST,60640,"-10,478",10478.19703,"RAYAN'S RESTAURANT & LIQUORS, INC."
3326 N MILWAUKEE AVE 1,60641,"-10,480.15",10480.14508,NILES FURNITURE INC.
1442 E 57TH ST 1ST 1,60637,"-10,482.09",10482.09313,KI KIM
2414 S WENTWORTH AVE 1-2,60616,"-10,484",10484.04118,SZECHUAN CUISINE INC.
11652 S WESTERN AVE,60643,"-10,486",10485.98923,"A.M.R. (OF ILLINOIS), INC."
1010 W 35TH ST 5 540,60609,"-10,488",10487.93728,HD Beauty Bar LLC
5932 N NORTHWEST HWY  201,60631,"-10,490",10489.88533,"Central Staffing and Personnel Services, LC"
1726 W 119TH ST 1,60643,"-10,491.83",10491.83338,COSMO BEAUTY AND HAIR INC.
1527 W LAWRENCE AVE,60640,"-10,493.78",10493.78143,"M & A BAKERY, INC"
11652 S WESTERN AVE,60643,"-10,496",10495.72948,"A.M.R. (OF ILLINOIS), INC."
4661 N BROADWAY  1ST A,60640,"-10,498",10497.67753,"DALIA FOOD MARKET, INC."
6719 W ARCHER AVE,60638,"-10,500",10499.62558,"KISMET BEAUTY LOUNGE, INC."
4742-4744 N RACINE AVE,60640,"-10,502",10501.57363,"GOLDEN HOUSE RESTAURANT, INC."
6257 S COTTAGE GROVE AVE,60637,"-10,504",10503.52168,NEW DALEY'S RESTAURANT
5020 N SHERIDAN RD,60640,"-10,505",10505.46973,"BIG CHICKS, INC."
5335 N CLARK ST,60640,"-10,507.42",10507.41778,"NEW GROWTH, INC"
6160 N LINCOLN AVE,60659,"-10,509",10509.36584,CWK Lincolnwood LLC
4553 - 4559 N CLARK ST,60640,"-10,511.31",10511.31389,"RAYAN'S RESTAURANT & LIQUORS, INC."
525 W 31ST ST,60616,"-10,513.26",10513.26194,ALICE KIM
4653 N BROADWAY,60640,"-10,515.21",10515.20999,"UPTOWN BIKES, INC."
5024 N SHERIDAN RD  1ST F,60640,"-10,517",10517.15804,"BIG CHICKS, INC."
10300 S WESTERN AVE 1ST,60643,"-10,519",10519.10609,J & T SERVICE CORPORATION
2414 S WENTWORTH AVE 1-2,60616,"-10,521",10521.05414,SZECHUAN CUISINE INC.
1456 E 63RD ST,60637,"-10,523",10523.00219,CREATIVE COMPUTER SERVICES COR
1944 W MONTROSE AVE 1,60613,"-10,525",10524.95024,MINERALOGY INC.
5024 N SHERIDAN RD  1ST F,60640,"-10,527",10526.89829,"BIG CHICKS, INC."
1511 W BALMORAL AVE,60640,"-10,528.85",10528.84634,"ROGO ENTERTAINMENT, INC."
5845 S RACINE AVE 1,60636,"-10,530.79",10530.79439,AVILES GRANITE INC.
2205-2211 W 95TH ST 1ST,60643,"-10,532.74",10532.74244,ORIENTAL ARTS CENTER INC
10939 S WESTERN AVE,60643,"-10,534.69",10534.69049,SEE THRU CHINESE KITCHEN
2130 W 95TH ST 1ST,60643,"-10,536.64",10536.63854,DESIREE C. O'KELLEY
1252 N CENTRAL PARK AVE,60651,"-10,539",10538.58659,TRUE FORM PRODUCTIONS LLC
1511 W BALMORAL AVE,60640,"-10,540.53",10540.53464,"ROGO ENTERTAINMENT, INC."
10300 S WESTERN AVE 1ST,60643,"-10,542.48",10542.48269,J & T SERVICE CORPORATION
4430 N WINCHESTER AVE 3RD,60640,"-10,544",10544.43074,"RACE & ASSOCIATES, LTD"
4900 N BROADWAY,60640,"-10,546",10546.37879,UPTOWN SERVICE STATION INC
5233 N CLARK ST  2,60640,"-10,548",10548.32684,WOMEN & CHILDREN FIRST INC
1511 W BALMORAL AVE,60640,"-10,550.27",10550.2749,"ROGO ENTERTAINMENT, INC."
4401 N SHERIDAN RD 1ST,60640,"-10,552.22",10552.22295,JAKE'S PUP IN THE RUF INC
4900 N BROADWAY,60640,"-10,554.17",10554.171,UPTOWN SERVICE STATION INC
5024 N SHERIDAN RD  1ST F,60640,"-10,556.12",10556.11905,"BIG CHICKS, INC."
4945 N BROADWAY,60640,"-10,558",10558.0671,DIEN TRINH
4900 N BROADWAY,60640,"-10,560",10560.01515,NATIONAL PETROLEUM CO
615 E 79TH ST,60619,"-10,562",10561.9632,"COSMO WIGS, INC"
5555 N BROADWAY,60640,"-10,563.91",10563.91125,"UNIQUE SILVER, INC"
5153 N CLARK ST  325,60640,"-10,565.86",10565.8593,"TRIFKOTIX, INC."
5603 W BELMONT AVE 1ST,60634,"-10,567.81",10567.80735,NGO WIRELESS INC.
5409 N CLARK ST 1ST,60640,"-10,570",10569.7554,CENTRO HISPANO BUSINESS CENTER INC.
4112 N NASHVILLE AVE 1ST,60634,"-10,571.70",10571.70345,"DR. ADORABLE, INC."
5700 S HARPER AVE 1ST,60637,"-10,574",10573.6515,"PORTO ROMANO, INC."
227 W MONROE ST 27TH,60606,"-10,576",10575.59955,JOSEPH T. RYERSON & SON INC.
1734 W 35TH ST  1F,60609,"-10,578",10577.5476,OUTSIDE THE BOX EVENTS AND CATERING INC.
330 N WABASH AVE 2,60611,"-10,579",10579.49565,PACIFIC CHICAGO SERVICE CORPORATION
2219 N WESTERN AVE 1ST,60647,"-10,581",10581.4437,SIDESHOW GALLERY INC.
330 N WABASH AVE 2,60611,"-10,583",10583.39175,PACIFIC CHICAGO SERVICE CORPORATION
5035-5037 N SHERIDAN RD 1,60640,"-10,585.34",10585.3398,SUPERMART 4 FOOD INC
4821 N BROADWAY,60640,"-10,587.29",10587.28785,PATCHARA KLAISUBHAN
941 W 120TH ST 1,60643,"-10,589",10589.23591,EXELON SOLAR CHICAGO LLC
5129-5135 N BROADWAY,60640,"-10,591",10591.18396,DANNY'S MARKET INC
2315 W 112TH PL,60643,"-10,593.13",10593.13201,WASHINGTON & JANE SMITH COMMUNITY - BEVERLY
4645 N RAVENSWOOD AVE 1ST,60640,"-10,595.08",10595.08006,ACCURATE PRODUCTS INCORPORATED
2320 W 113TH PL,60643,"-10,597.03",10597.02811,WASHINGTON & JANE SMITH COMMUNITY - BEVERLY
5540 N BROADWAY  1ST,60640,"-10,598.98",10598.97616,ZIRLIN INTERIORS INC
10943 S WESTERN AVE,60643,"-10,600.92",10600.92421,BEVERLY HILLS FISH INC
330 N WABASH AVE 2,60611,"-10,602.87",10602.87226,PACIFIC CHICAGO SERVICE CORPORATION
11308 S OAKLEY AVE,60643,"-10,604.82",10604.82031,WASHINGTON & JANE SMITH COMMUNITY - BEVERLY
4821 N BROADWAY  1ST,60640,"-10,607",10606.76836,THAILAND FOOD CORP
2320 W 113TH PL,60643,"-10,608.72",10608.71641,WASHINGTON & JANE SMITH COMMUNITY - BEVERLY
5655 W FILLMORE ST,60644,"-10,611",10610.66446,H&K Perforating LLC
2320 W 113TH PL,60643,"-10,613",10612.61251,WASHINGTON & JANE SMITH COMMUNITY - BEVERLY
4729 S CICERO AVE 1ST,60632,"-10,614.56",10614.56056,KEVIN CUONG NGUYEN
1025 W LAWRENCE AVE 1 1521,60640,"-10,616.51",10616.50861,"DIB, INC."
5548 W FULLERTON AVE,60639,"-10,618.46",10618.45666,MOBILELINK L.L.C.
2952 W IRVING PARK RD 1ST,60618,"-10,620",10620.40471,PASSION4FASHION INC.
3055 N CALIFORNIA AVE 1ST,60618,"-10,622.35",10622.35276,BGC LAUNDRY INC.
1327 E 57TH ST  1,60637,"-10,624.30",10624.30081,"MEDICI GALLERY AND COFFEE HOUSE, INC."
7854 S ASHLAND AVE,60620,"-10,626",10626.24886,MOBILELINK L.L.C.
5558 W BELMONT AVE 1,60641,"-10,628",10628.19691,MOBILELINK L.L.C.
1448 W 115TH ST  1,60643,"-10,630.14",10630.14497,ANTHONY MADISON
1327 E 57TH ST  1,60637,"-10,632",10632.09302,"MEDICI GALLERY AND COFFEE HOUSE, INC."
4015 W ARMITAGE AVE 1ST,60639,"-10,634",10634.04107,MOBILELINK L.L.C.
5030 N MARINE DR  2112,60640,"-10,635.99",10635.98912,GEORGEL CROITORU
5335 N SHERIDAN RD,60640,"-10,638",10637.93717,MAVERICK ORGANIZATION INC
103 W VAN BUREN ST GRDLEVEL,60605,"-10,639.89",10639.88522,COLOR IN THE LOOP SALON LLC
4840 S ST LOUIS AVE  B,60632,"-10,642",10641.83327,"CHICAGO TRIBUNE COMPANY, LLC"
1327 E 57TH ST  1,60637,"-10,644",10643.78132,"MEDICI GALLERY AND COFFEE HOUSE, INC."
3439 W 73RD ST,60629,"-10,646",10645.72937,D & G CLEANING SERVICES INC.
1400 E 95TH ST  1ST,60619,"-10,647.68",10647.67742,"CHICAGO TRIBUNE COMPANY, LLC"
1701 W LAWRENCE AVE,60640,"-10,649.63",10649.62547,"BYRON'S HOT DOG, INC."
3541 W MONTROSE AVE 1ST A,60618,"-10,651.57",10651.57352,DENY-LIND TRUCKING CORP
2820 W 48TH PL,60632,"-10,654",10653.52157,"CHICAGO TRIBUNE COMPANY, LLC"
5133 S CICERO AVE  C,60632,"-10,655.47",10655.46962,MOBILELINK L.L.C.
2333 W CERMAK RD,60608,"-10,657.42",10657.41767,MOBILELINK L.L.C.
11758 S WESTERN AVE,60643,"-10,659.37",10659.36572,"LET'S GET POPPIN,INC"
5930 W LAWRENCE AVE 1ST,60630,"-10,661",10661.31377,MYCHA LLC
2650 N NARRAGANSETT AVE 1 C4,60639,"-10,663.26",10663.26182,MOBILELINK L.L.C.
5503 N CLARK ST 1ST,60640,"-10,665",10665.20987,ESTHER LEE
2500 W BRADLEY PL 2,60618,"-10,667.16",10667.15792,"CHICAGO TRIBUNE COMPANY, LLC"
2637-2639 W 51ST ST 1ST,60632,"-10,669",10669.10598,"MARIA LUZ E. FONSECA, CORP."
5335 N SHERIDAN RD,60640,"-10,671",10671.05403,MAVERICK ORGANIZATION INC
4406 S PULASKI RD FIRST,60632,"-10,673",10673.00208,AAJEEVAN INC.
1440 W MORSE AVE 1,60626,"-10,675",10674.95013,MMAH S. CAMARA
5324 N BROADWAY,60640,"-10,676.90",10676.89818,SAHJANAND ENTERPRISES INC
5565 N LYNCH AVE,60630,"-10,679",10678.84623,"CHICAGO TRIBUNE COMPANY, LLC"
"1155 E 60TH ST  2,3,BSMT",60637,"-10,680.79",10680.79428,NATIONAL OPINION RESEARCH CENTER
55 E MONROE ST 19-20 & 30-31,60603,"-10,683",10682.74233,NATIONAL OPINION RESEARCH CENTER
1746 W DIVISION ST 1,60622,"-10,685",10684.69038,"MONNI FOODS, LLC"
10231 S PROSPECT AVE,60643,"-10,686.64",10686.63843,"Richard Lewis, Sr."
2054 E 110TH ST,60617,"-10,689",10688.58648,"ALLIED WASTE TRANSPORTATION, INC"
1633 W MEDILL AVE,60614,"-10,691",10690.53453,"ALLIED WASTE TRANSPORTATION, INC"
11102 S LONGWOOD DR 1ST,60643,"-10,692",10692.48258,"LONGWOOD CLEANERS, INC."
6523 S DR MARTIN LUTHER KING JR DR  1ST,60637,"-10,694",10694.43063,WOODLAWN ANIMAL HOSPITAL
2351 S LAFLIN ST 1ST,60608,"-10,696.38",10696.37868,"ALLIED WASTE TRANSPORTATION, INC"
1545 W ROSEMONT AVE 2ND,60660,"-10,698",10698.32673,PLUM PRODUCTIONS INC.
5555 N SHERIDAN RD  12,60640,"-10,700",10700.27478,FJASHW INC.
8323 S SAGINAW AVE,60617,"-10,702.22",10702.22283,"MY 2ND CHANCE, LLC"
5430 N BROADWAY,60640,"-10,704",10704.17088,SENTIERI INC.
3656 N LINCOLN AVE 1ST F,60613,"-10,706.12",10706.11893,Studio 8 Pilates LLC
1344 E 67TH ST 1,60637,"-10,708",10708.06698,1344 EAST 67TH STREET CORP.
5557 N SHERIDAN RD,60640,"-10,710",10710.01504,ANNA HELD FOUNTAIN CAFE
16 W 64TH ST 1ST,60621,"-10,712",10711.96309,"ALLIED WASTE TRANSPORTATION, INC"
